Reference Text,Hypothesis Text,WER Score
"“天聖稲荷大権現神社”を出て,“箱根大天狗山神社”へ向かう。","“天聖稲荷大権現神社”を出て,“箱根大天狗山神社”へ向かう。",0.00%
みんな自分の立場から主張しています。,みんな自分の立場から主張しています。,0.00%
"“鶴”は統一教会教祖・文鮮明の妻,韓鶴子が由来か。","“鶴”は統一教会教祖・文鮮明の妻,",32.00%
“心筋梗塞になったが神様に命を救っていただいた”,“心筋梗塞になったが神様に命を救っていただいた”,0.00%
広告審査部への取り次ぎは読者センターの判断に委ねるとのこと。,広告審査部への取り次ぎは読者センターの判断に委ねるとのこと。,0.00%
ビデオセンタースタッフも参加。,ビデオセンタースタッフも参加。,0.00%
"空気を読もうとする姿勢が見られ,不思議な気持ちになりました。",空気を,90.00%
"だが,生真面目な彼は少し困った顔をしてこう言った。","だが,生真面目な彼は少し困った顔をしてこう言った。",0.00%
どうぞ取材に来てください。,どうぞ取材に来てください。,0.00%
"でも党が結成されたときは,けっこう報道されていましたよ。","でも党が結成されたときは,けっこう報道されていましたよ。",0.00%
陳述書に“現在も通っている”と書いてあるが?,,100.00%
"ファンの皆様には混乱を招いてしまい,誠に申し訳ございません。","ファンの皆様には混乱を招いてしまい,誠に申し訳ございません。",0.00%
"教祖の浮気性,あくなき欲望。","教祖の浮気性,",50.00%
さっぱり意味がわかりません。,さっぱり意味がわかりません。,0.00%
心よりお悔やみ申し上げます。,心よりお,71.43%
"そんな俗世の快楽を楽しむ彼も,インタビューには“洗礼を受けるつもり”と答えている。",そんな俗世の,85.37%
"記者はその勝手な言い分に対し,“暑い中,わざわざ来てくれた警官に失礼だろう!”","記者はその勝手な言い分に対し,“暑い中,わざわざ来てくれた",25.64%
"というか,返す刀で互いを批判し合っています。",とい,90.91%
"みな,事実に基づいて恐怖と憎悪と嘲りを込めてぼくをカルトくんと呼んでくれています。","みな,事実に基づいて恐怖と憎悪と",60.98%
そうだろ?,そうだろ?,0.00%
すごいすごい。,すごいすごい。,0.00%
"もちろん,まじめにやっている宗教法人もあるとは思いますが,やりたい放題やろうと思えばできてしまう構造は変える必要があるように思います。","もちろん,まじめにやっている宗教法人もあるとは思いますが,やりたい放題やろうと思えばできてしまう構造は変える必要があるように思います。",0.00%
"きっと,地上天国の中にいるのでしょう。","きっと,地上天国の中にいるのでしょう。",0.00%
過去に自らが主催した飯田氏の講演の映像もYouTubeから削除しました。,過去に自らが主催した飯田氏の講演の映像もYou,36.11%
"もう一つびっくりしたことと言えば,公立学校の中には保育所が併設されているところがあるということです。","もう一つびっくりしたことと言えば,公立学校の中には保育所が併設されているところがあるとい",12.00%
"おかしな販売をしているといっても,それはあくまでも刑事事件の話であって,公安部が出てくる筋ではありません。","おかしな販売をしているといっても,それはあくまでも刑事事件の話であって,公安部が出てくる筋ではありません。",0.00%
"地方に住む知人の僧侶によると,こんな話もありました。","地方に住む知人の僧侶によると,こんな話もありました。",0.00%
"だからまあ,もう,“殺ってくれ”とは言っておいたから。",だからま,85.19%
"右奥に見える重機が,我々に何かを物語っている気がしないでもありません。","右奥に見える重機が,我々に何かを物語っている気がしないでもありません。",0.00%
とても賢い生徒さんです。,とても賢い生徒さんです。,0.00%
"たまたま,お互いに潜入取材の最中だった。","たまたま,お互いに潜入取材の最中だった。",0.00%
"ホメオパシーのレメディは毒にも薬にもならない“ただの水”と砂糖玉なので,司法解剖によってわかる類の因果関係なんてあるはずもありません。","ホメオパシーのレメディは毒にも薬にもならない“ただの水”と砂糖玉なので,司法解剖によってわかる類の因果関係なんてあるはずもありません。",0.00%
"まさか松田氏は,男性が倒れる前から消防に通報していたとでもいうつもりだったのでしょうか。","まさか松田氏は,男性が倒れる前から消防に通報していたとでもいうつもりだったのでしょうか。",0.00%
是非書けるようになってみたい。,是非書,80.00%
どう見ても幸福の科学出版の広告です。,どう見ても幸福の科学出版の広告です。,0.00%
"おおつた氏は数年前に勧誘され足立教会の通教組織である【びぎん】に所属,前線での違法な勧誘や霊感商法には関わっていなかったらしい。",おおつた氏は数年前に勧誘され足立教会の通教組織である【,57.81%
"昔,阪神淡路大震災の時は,駅から重いリックを背負って,片道3時間歩いて仮設トイレ等の設置のボランティアに行きましたが,被災地の大変さは,想像以上でした。","昔,阪神淡路大震災の時は,駅から重い",76.32%
"かなりの長文になりますが,どうかご了解をお願いします。","かなりの長文になりますが,どうかご了解をお願いします。",0.00%
"政党と柴犬を同列に扱うというのも,なかなかです。",政党と柴犬を同列に扱うとい,45.83%
"ですから,もろもろ客観的解説やツッコミも入ります。","ですから,も",76.00%
"その後一行は,池袋駅に移動。","その後一行は,池袋駅に移動。",0.00%
"学校法人幸福の科学学園が2013年に関西校を開校するため土地を購入した滋賀県大津市内で,学園開校に反対する声が地元住民から挙がっています。","学校法人幸福の科学学園が2013年に関西校を開校するため土地を購入した滋賀県大津市内で,学園開校に反対する声が地元住民から挙がっています。",0.00%
"では,同じくメディアとしての品性のかけらもない“やや日刊カルト新聞”が,品性のかけらもない宗教者たちの過去のエロ事件を調べてみました。","では,同じくメディアとしての品性のかけらもない“やや日刊カルト新聞”が,品性のかけらもない宗教者たちの過去のエロ事件を調べてみました。",0.00%
宗教は怖い?,宗教は怖い?,0.00%
"また渡辺弁護士は,こうも指摘します。","また渡辺弁護士は,こうも指摘します。",0.00%
その流れというのもあるので???。,その流れとい,64.71%
勝利の女神がどちらにほほ笑むか全く分からない展開。,勝利の女神がどちらに,60.00%
ストイコビッチ監督は「浦和は最後まで目を覚ますことがなかった」と、ジョークを交えながら「柏さんにはおめでとうと言いたい」と新王者を称えた。,,100.00%
一団の脇をレスキューボードでライフセーバーが泳ぎ、さらにカヌー、水上バイクもその外に待機する。,一団の脇をレスキューボードでライフ,63.83%
...あなたが涙を流した「SATC」のエピソードは?,...あなたが涙を流した「SATC」のエピソードは?,0.00%
ジャンボ機の愛称で知られるボーイング747のうち、約20年にわたって日航で活躍してきた国内線仕様の「400D型」の引退フライトツアーが19日あり、参加した約450人が乗り込み別れを惜しんだ。,ジャンボ機の愛称で知られるボーイ,83.16%
センター街の片隅で、撮影の準備を始める大島優子さんとスタッフ。,センター街の片隅で、撮影の準備を始める大島優子さんとスタッフ。,0.00%
この背景には、アメリカの金融緩和の影響で多額の資金が原油の先物市場に流れ込んでいることや、新興国の需要の拡大で国際的な原油取引の価格が上昇していることがあります。,この背景には、アメリカの金融緩和の影響で多額の資金が原油の先物市場に流れ,55.56%
本格的だし、絶対に効くと思うので、いろいろな人に覚えてもらいたいです。,本格的だし、絶対に効くと思うので、いろいろな人に覚えてもらいたいです。,0.00%
仮設を出た後に住みたい場所では、岩手、宮城の約6割が「以前住んでいた場所に近い高台」「同じ市町村」、福島の7割が「以前住んでいた場所」と答えた。,仮設を出た後に,90.28%
当初、アメリカ映画として作る発想から始まったので英語映画にしたが、舞台にニューヨークを選ばなかったのは、東京を壊すべきだと思ったから。,当初、アメリカ映画として作る発想から始まったので英語映画にしたが、舞台にニューヨークを選ばなかったのは、東京を,17.91%
このページに掲載されている記事・写真・図表などの無断転載を禁じます。,このページに掲載されている記事・写真・図表などの無断,23.53%
記者がアジアを飛び回っているせいか、やはりアジアの方が多いです。,記者がアジアを飛び回っているせいか、やはりアジアの方が多いです。,0.00%
警視庁は今後、役員らから事情を聴くなど、検査妨害の全容を解明する方針。,警視庁は今後、役員らから事情を聴くなど、検査妨害の全,25.71%
70年ぶりに生息が確認されたクニマスの保護に向け、西湖で地元の漁業協同組合が、禁漁区を自主的に設定しました。,70年ぶりに生息が確認されたクニマスの保護に向け、西湖で地元の漁業協同組合が、,27.78%
谷川容疑者は政治団体の構成員を名乗っていて、当時、団体の車両が中国に対する批判を繰り返す街宣活動を行っていたという。,谷川容疑者は政治団体の構成員を名乗っていて、当時、団体の車両が中国に対する批判を繰り返す街宣活動を行っていたとい,3.45%
やがて、書きためた曲を携え、「ウクレレわらべうた」として児童館などでライブを始め、そこで出会った絵本の読み聞かせをする父親たちのグループ「パパ’S絵本プロジェクト」の活動に合流。,やがて、書きためた曲を,87.64%
昨年4月、オバマ米大統領が「核兵器のない世界を目指す」と訴えたプラハ演説以降、潮目が変わってきているのかなと、かすかな期待を抱く。,昨年4月、オバマ米大統領が「核兵器のない世界を目指す」と訴えた,52.31%
だが08年4月、あごを骨折し3つ目の王座から陥落。,だが08年4月、,68.00%
今期の経常利益は急回復する見通しだが、中期的に見れば、震災の影響はジワジワ効いてくる。,今期の経常利益は急回復する見通しだが、中期的に見れば、震災の影響は,23.26%
鋭い眼光でこちらを睨み付けるニノ、ヴィジュアル系のように自分を抱きしめるニノ、壁にへばり付き何かに怯えるニノ......。,鋭い,96.72%
パク・チウォン代表は「25人の将軍級を懲戒するというが、こうした重大な問題を監査院の監査で懲戒程度で終わらせることはありえない」、「軍法会議に回付して、軍検察が徹底した調査をするように要求する」と述べた。,パク・,97.06%
SMBC日興証券は2012年秋をめどにシンガポール拠点を開設する。,SMBC日興証券は2012年秋をめどにシンガポール拠点を開設する。,0.00%
3年ぶりにボランチでプレーしたので自己評価は出来ない。,3年ぶりに,81.48%
わずか半年間に重賞を3勝し、血統馬にふさわしい活躍を見せてきた。,わずか半年間に重賞を3勝し、血統馬に,43.75%
伏兵の一発を含む11安打9得点で静岡県勢として春通算50勝を達成。,伏兵の一発を含む11安打9得点で静岡県勢として春通算50勝を達成。,0.00%
メディアから「45年の歴史を持つメジャーリーグのドラフト史上で『最高の選手』」と言われていたストラスバーグだが、この契約金は各方面で話題になった。,メディアから「45年の歴史を持つメジャーリーグのドラフト史上で『最高の選手』」と言われていた,36.99%
私たち去る大戦の悲惨な教訓から戦後「命どぅ宝」、基地のない平和で安全な沖縄を希求してきました。,私たち去る大戦の悲惨な教訓から戦後「命ど,57.45%
5/13に放送されるフジテレビ系「僕らの音楽」にて、福原美穂とAIという豪華共演が決定した。,5/13に放送されるフジテレビ系「僕らの音楽」にて、福原美,36.96%
そして次巻「約束の地で」では一気に時間が20年後へと飛ぶ。,そして次巻「約束の地で」では一気に時間が20年後へと飛ぶ。,0.00%
もちろん、運転可能!,もちろん、運転可能!,0.00%
ビーチや公園、家やオフィスなど様々な場所に持ち運んで楽しむことができます。,ビーチや公園、家やオフィスなど様々な場所に持ち運んで楽しむことができます。,0.00%
2人は以前、男性に向かって石を投げた際に投げ返されたり、喫煙していてとがめられたりしたことがあり、恨みを募らせていたという。,2人は以前、男性に向かって石を投げた際に投げ返されたり、,54.84%
深刻度がもっとも高い「緊急」とされるのは、「Windows」に関するプログラム4件。,深刻度がもっとも高い「緊急」とされるのは、「Windows」に関するプログラム4件。,0.00%
ただ、この質問に対する回答は、誰かに回答が固まることなく、1位の木村拓哉さんでも獲得率が5%以下と幅広くいろいろな人の名前が挙がる結果となりました。,ただ、この質問に対する回答は、誰かに回答が,71.62%
早ければ2010年度から行う方向となった。,,100.00%
車を所有する人の割合は前回平成13年度調査の71・2%から11・9ポイント減少した。,車を所有する人の割合は前回平成13年度調査の71・2%から11・9ポイント減少した。,0.00%
大宮は終盤、攻勢を仕掛けるも得点は奪えず。,大宮は終盤、攻勢を仕掛けるも得点は奪えず。,0.00%
本当に申し訳ない。,本当に申し訳ない。,0.00%
独立型チャペルは、本格的なヨーロピアンテイスト。,独立型チャペルは、本格的な,45.83%
教室に火の気はなく、白河署と矢吹消防署は30日、実況見分し原因を調べる。,教室に火の気はなく、白河署と矢,58.33%
一方で、西側の政治家や専門家の多くは、ノーベル賞委員会の決定は非常に理にかなったものであるとの評価を与えている。,一方で、西側の政治家や専門家の多くは、ノーベ,60.71%
午後に入ると139円80銭付近での推移となり、結局は14銭高の139円78銭で引けた。,午後に入ると139円80銭付近での推移となり、結局は14銭高の139円78銭で引けた。,0.00%
ゴールドマン・サックス証券は257社、日本最大手の野村証券は608社。,ゴールドマン・サックス証券は257社、日本最大手の野村証券は608社。,0.00%
知床半島も、はじめて訪れた1971年から大きく変わり、羅臼の漁師の家も番屋も立派になり、ウトロには無数のホテルが建ち、「地の果て」とは言えない様変わりをしています。,,100.00%
企業経営者の、そして企業人一人ひとりの意識改革ではないだろうか。,企業経営者の、そして企業人一人ひとりの意識改革ではないだろうか。,0.00%
※世帯ごとに保険料の上限が決まっている。,※世帯ごとに保険料の上限が決まっている。,0.00%
県では「風評被害を防ぐため」として店舗名を公表していない。,県では「風評被害を防ぐため」として店舗名を公表していない。,0.00%
先が気になるストーリー展開や、3人の演技に引き込まれてしまうこと間違いナシだ!,先が気になるストーリー展開や、3人の演技に引き,41.03%
法案が上院を通過すれば、昨年12月に下院を通過した法案と統合する必要があり、アナリストによると、その時期は5月下旬になると見込まれている。,法案が上院を通過すれば、昨年12月に下院を通過した法案と統合する必要があり、アナリストによると、その時期は5月下旬になると見,10.14%
来場者は熱心に見入っていた。,来場者は熱心に見入っていた。,0.00%
入場無料。,入場無料。,0.00%
当面は同省職員2人を派遣。,当面は同省職員2人を派遣。,0.00%
株式会社GCIキャピタルは、信頼できる情報をもとに本資料を作成しておりますが、正確性・完全性について株式会社GCIキャピタルが責任を負うものではありません。,株式会社GCIキ,89.74%
そのあだ名の通り、女性を見ると口説き、襲おうとするリョウちゃん。,その,93.75%
男女が親交を深めやすいようにと、ピザ作り体験などを企画の柱にしたところ大好評となった。,男女が親交を深めやすいようにと、ピザ作り体験などを企画の柱にしたところ大好評となった。,0.00%
恵まれた身体能力を生かした守備はもちろん、闘争心をむき出しに前線へと駆け上がるプレーで相手を翻弄。,恵まれた身体能力を生かした守備はもちろん、,57.14%
ベストアルバム『BADTIMES』をリリースすることが明らかになりました!,ベストアルバム『BAD,70.27%
震災を考慮して街頭運動が一部異例の選挙戦がスタートした。,震災を考慮して街頭運動が一部異例の選挙戦がスタートした。,0.00%
トッティは試合後に「この記録を誇りに思うが、ここで止まることはない」とコメント。,ト,97.50%
尾崎淳介校長は「水筒を持たせ、帽子をかぶるように指導していた。,尾,96.77%
自由で不思議でキュートな女の子、AKB48チームBのメンバーメンバー小林香菜。,自由で不思議でキュートな女の子、AKB48チームBのメンバーメンバー小林香,5.13%
景観・社会・文化・報道・文化遺産・近代史写真等、豊富なジャンルでご対応!,景観・社会・文化・報道・文化遺産・近代史写真等、豊富なジャンルでご対応!,0.00%
過去に記者会見で歌を歌った選手などがいたが競技外のパフォーマンスがどうであったとしても競技で結果を残せなければ何の意味もない事をトリノ以降、協会が選手に伝えきれていない。,過去に記者会見で歌を歌った選手などがいたが競技外のパフォーマンスがどうであったとしても競技で結果を残せなければ何の意味もない事をトリノ以降、協会が選手に伝えきれていない。,0.00%
18分以降、SAGAWAがボールをキープする時間が増え出し行くのだが、これはペースを握っているのではなく、前からのプレッシャーが厳しいため、一旦下げて後ろで回し、なんとか穴を探ろうとしたためにポゼッションする時間が増えただけのこと。,18分以降、SAGAWAがボールをキープする時間が増え出し行くのだが、これはペースを,63.79%
通路を使って移動し、ホーム上の混雑を回避する。,通路を使って移動し、ホーム上の混雑を回避する。,0.00%
2号機の西1・1キロにある西門付近で、17日午前0時半に毎時351・4マイクロシーベルトだった放射線量が、18日午前8時には270・5マイクロシーベルトに下がった。,2号機の西1・1キロにある西門付近で、17日午前0時半に毎時351・4マイクロ,52.44%
簡単でおいしい上に、栄養のバランスがいいとなれば言うことなしです。,簡単でおいしい上に、栄養のバランスがいいとなれば言うことなしです。,0.00%
また、レートにより金額が多少左右されます。,また、レートにより金額が多少左右されます。,0.00%
立件に消極的だったという。,立件に消極的だったとい,15.38%
わが外相が「重要な進展だ」と胸を張っているように見えたのは、きっと気のせいだ。,わが外相が「重要な進展だ」と胸を張っているように見えたのは、きっと気のせいだ。,0.00%
オバマ大統領は、雇用対策の恩恵を受ける教師や警官、建設労働者らを背に演説に臨み、「この法案が、人々を職場に戻していくことにつながる」とアピール。,オバマ大統領は、雇用対策の恩恵を受ける教師や,69.44%
オーストラリア、カナダ、メキシコでも、それぞれの国の労働者が転職先を見つけることができるとの回答が高いことがわかりました,オーストラリア、カナダ、メキシコでも、それぞれの国の労働者が,50.00%
橋下知事は立候補を明言こそしなかったが、「大都市、大阪の市長に平松市長はふさわしくない。,橋下知事は立候補を明言こそしなかったが、「大都市、大阪の市長に,29.55%
米中戦略・経済対話初日の米側は中国の反体制派への弾圧を厳しく批判したが、世界の経済成長については協調的な姿勢を示した。,米中戦略・経済対話初日の米側は中国の反体制派への弾圧を厳しく批判したが、世界の経済成長については,18.64%
ジャカルタの街中で自転車を利用する人が増えたように思う。,,100.00%
サイトの新しい楽しみ方「屋上会議室」好評公開中!,サイトの新しい楽しみ方「屋上会議室」好評公開中!,0.00%
その名の通り、スライド全面にグラフィックを配置。,その名の通り、スライド全面にグラフィックを配置。,0.00%
高校時代の同級生とあって合宿中も、不安を打ち明け合っているという。,高校時代の同級生とあって合宿中も、不安を打,36.36%
あるいは、試練に挑もうとしない逃避癖だ。,あるいは、,75.00%
イランが、IEF国際エネルギー・フォーラム実行委員会の常任メンバー国に選出されました。,イランが、IEF国際エネルギー・フォーラム実行委員会の常任メンバー国に選出されました。,0.00%
信号変換効率を向上するとともに、超低域の歪みを改善し、低域から高域まで、すぐれた周波数特性を実現している。,信号変換効率を向上するとともに、超低域の歪みを改善し、低域から高域まで、すぐれた周波数特性を実現している。,0.00%
初期投資のいくらか全ての損失を被る可能性が存在します、,初期投資のいくらか全ての損失を,44.44%
最初の仕切りで芳東に待ったをかけられた宝智山は、仕切り直しの立ち合いで得意の右四つとなり左上手を取ると、相手に構うことなく前に出てそのまま寄り倒した。,最初の,96.00%
父から「おまえが決意して、そこまでやるなら応援する」と思いもよらない言葉で激励された。,父から「おまえが決意して、そこまでやるなら応援する」と思いもよらない言葉で激励された。,0.00%
西宮市は活動を大規模災害に限っているため、日常的に活動する機能別消防団員は県内初。,西宮市は活動を大規模災害に限っているため、日常的に活動する機能別消防団員は県内初。,0.00%
東中本運動場まで徒歩5分一日600円/5台,東中本運動場まで徒歩5分一日600円/5台,0.00%
って言ってる年齢不詳?,って言ってる年齢不,18.18%
キレイでオシャレな店内はずっといてもいいぐらいですね。,キレイでオシャレな店内はず,51.85%
自分は希望スタイルをいつも複数抱えて来店しますが、センスの良いスタッフの意見が役に立っていつも満足のいく仕上がりを施してくださいます。,自分は希望スタイルをいつも複数抱えて来店しますが、センスの良いスタッフの意見が役に立っていつも満足のいく仕上がりを施してくださいます。,0.00%
あれじゃ客は来ないね、,あれじゃ客は来ないね、,0.00%
診察は予約制なのに1時間まちはざらです。,診察は予約制なのに1時間まちは,25.00%
“シールド工法”が良くわかります。,“シールド工法”が良くわかります。,0.00%
エステは受けたことが無いので相場はわかりませんでしたが、まぁ、これなら妥当かな、という感じでした。,エステは受けたことが無いので相場はわかりませんでしたが、ま,40.82%
父には90分コースをセレクトしましたが、新規価格ということで少しお得になっていました。,父には90分コースを,76.74%
友人の紹介で東京の出張マッサージを利用。,友人の紹介で東京の出張マッサージを利用。,0.00%
スタッフがフレンドリー。,スタッフがフレンドリー。,0.00%
お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのトロ刺身のお皿はお取りになられましたか?,お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのト,34.55%
営業時間は朝9時~夜7時までみたいですが、人気のあるパンはすぐなくなってしまいます。,営業時間は朝9時~夜7時までみたいですが、人気のあるパンはすぐなくなってしまいます。,0.00%
大門側から高野山に入って最初の信号にある出光興産系のガソリンスタンド。,大門側から高野山に入って最初の信号にある出光興産系のガソリンスタンド。,0.00%
テレビにて、こちらの店を知りましたが、こだわりの店と認識していたので正直がっかりさせられました。,テレビにて、こちらの店を知りましたが、こだわりの店と認識していたので正直がっかりさせられました。,0.00%
アアルトさんのコーヒー豆を使ったコーヒーは文句のつけようなし!,,100.00%
値段も普通くらいかな。,値段も普通くらいかな。,0.00%
いつも割りと混んでる。,いつも割りと混んでる。,0.00%
宴会が入って忙しかったのかも知れないが、接客は最悪、味も最低、刺身の盛り合わせは水っぽく、町のスーパーで売っている最低ランクの刺身と同じ味。,宴会が入って,91.43%
夜は5時に行くのが1番です。,夜は5時に行くのが1番です。,0.00%
治療やケアの方も素晴らしく、待合室もここが歯医者だと忘れてしまうくらい立派です。,治療やケアの方も素,77.50%
料理も美味しいし、女将・スタッフの皆さんよい感じでしたよ!,料理も美味しいし、女将・スタッフの皆さんよい感じでしたよ!,0.00%
この様な担当者の姿勢、とても良いと思います。,この様な担当者の姿勢、とても良いと思います。,0.00%
他社と比べても初めての見積もりの内容が非常に具体的でイメージがわきやすく好印象でした。,他社と比べても初めての見積もりの内容が非常に具体的でイメージがわきやすく好印象でした。,0.00%
持ってきてくれるのはいいのですが、他のメニューは食べ終わってしまって「おあずけ」状態です。,持ってきてくれるのはいいのですが、他のメニューは食べ終わってしまって「お,20.00%
また、この店は、土日になるとドライブスルー渋滞ができます。,また、この店は、土日になるとドライ,41.38%
料理は美味しい、雰囲気も良い、なによりお酒が美味しい。,料理は美味しい、雰囲気も良い、なによりお酒が美味しい。,0.00%
最近かなり混んで来ましたが先生は相変わらずマイペースでしっかり診療してくれるので予約が遅くなっても不満はありません。,最近かなり混んで来ましたが先生は相変わらずマイペースでし,51.72%
参ったなぁ、と途方にくれた時ふと最初に「あれではないよな」と思っていた不動明王の像があるお墓。,参ったなぁ、と,85.11%
バッティングセンターとビリヤード台もあって、仕出しをとれる会議室もあり、小さいながらも施設機能は充実してます。,,100.00%
子供お祝い返しに買ったロールケーキがカビていたので、本当に怒りしんとうでした,子供お祝い返しに買ったロー,65.79%
すごく親身にお世話してくれました。,すごく親身にお世話してくれました。,0.00%
最近出来た新しい産婦人科と悩みましたが、こちらの病院を選び正解だったと感じてます。,最近出来た新しい産婦人科と悩みましたが、こちらの病院を選び正解だったと感じてます。,0.00%
その時からのだから?,その時からのだから?,0.00%
美味しいおせんべいの他、ワッフルやゼリーなどもオススメです。,美味しいおせん,76.67%
ずっとコンプレックスだったので、キレイにしていただけて本当に良かったです。,ずっとコンプレックスだったので、キレイにしていただけて本当に良かったです。,0.00%
